arch,with_index,crud,iter,elapsed_ms,rows
3-tier,False,INSERT,1,23.47,100
3-tier,False,SELECT,1,211626.127,200
3-tier,False,UPDATE,1,51.503,50
3-tier,False,DELETE,1,26.845,100
3-tier,False,INSERT,2,73.771,100
3-tier,False,SELECT,2,205624.379,200
3-tier,False,UPDATE,2,177.411,50
3-tier,False,DELETE,2,11.476,100
3-tier,False,INSERT,3,250.882,100
3-tier,False,SELECT,3,207811.68,200
3-tier,False,UPDATE,3,332.74,50
3-tier,False,DELETE,3,51.095,100
3-tier,True,INSERT,1,244.211,100
3-tier,True,SELECT,1,27.136,200
3-tier,True,UPDATE,1,15.818,50
3-tier,True,DELETE,1,13.779,100
3-tier,True,INSERT,2,12.08,100
3-tier,True,SELECT,2,20.207,200
3-tier,True,UPDATE,2,26.543,50
3-tier,True,DELETE,2,32.667,100
3-tier,True,INSERT,3,8.62,100
3-tier,True,SELECT,3,2.159,200
3-tier,True,UPDATE,3,2.988,50
3-tier,True,DELETE,3,3.716,100
