arch,with_index,pool,param_mode,crud,iter,elapsed_ms,rows
3-tier,False,ON,on,INSERT,1,50.786,100
3-tier,False,ON,on,SELECT,1,209955.576,200
3-tier,False,ON,on,UPDATE,1,42.61,50
3-tier,False,ON,on,DELETE,1,13.271,100
3-tier,False,ON,on,INSERT,2,659.116,100
3-tier,False,ON,on,SELECT,2,212174.021,200
3-tier,False,ON,on,UPDATE,2,12.83,50
3-tier,False,ON,on,DELETE,2,10.26,100
3-tier,False,ON,on,INSERT,3,125.051,100
3-tier,False,ON,on,SELECT,3,207058.743,200
3-tier,False,ON,on,UPDATE,3,9.023,50
3-tier,False,ON,on,DELETE,3,8.35,100
3-tier,True,OFF,off,INSERT,1,47.324,100
3-tier,True,OFF,off,SELECT,1,19.359,200
3-tier,True,OFF,off,UPDATE,1,57.692,50
3-tier,True,OFF,off,DELETE,1,17.849,100
3-tier,True,OFF,off,INSERT,2,49.666,100
3-tier,True,OFF,off,SELECT,2,2.719,200
3-tier,True,OFF,off,UPDATE,2,1.651,50
3-tier,True,OFF,off,DELETE,2,3.261,100
3-tier,True,OFF,off,INSERT,3,33.336,100
3-tier,True,OFF,off,SELECT,3,1.397,200
3-tier,True,OFF,off,UPDATE,3,1.334,50
3-tier,True,OFF,off,DELETE,3,7.179,100
